freq (Hz),output noise; A / sqrt(Hz) a 1 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 1 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 2 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 3 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 4 N 20  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 3  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 6  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 7  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 8  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 9  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 10  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 11  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 12  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 13  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 14  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 15  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 16  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 17  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 18  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 19  (A / sqrt(Hz)),output noise; A / sqrt(Hz) a 5 N 20  (A / sqrt(Hz))
5.12861,2.02403E-9,896.298E-12,501.868E-12,293.562E-12,150.762E-12,89.8737E-12,62.3856E-12,49.5725E-12,43.3884E-12,40.0556E-12,37.9800E-12,36.5335E-12,35.4485E-12,34.5944E-12,33.8989E-12,33.3184E-12,32.8245E-12,32.3977E-12,32.0241E-12,31.6936E-12,3.08239E-9,1.68726E-9,1.09386E-9,650.210E-12,338.315E-12,199.409E-12,134.741E-12,103.875E-12,88.6900E-12,80.3659E-12,75.1024E-12,71.3895E-12,68.5801E-12,66.3559E-12,64.5394E-12,63.0216E-12,61.7307E-12,60.6170E-12,59.6449E-12,58.7878E-12,3.92583E-9,2.44297E-9,1.76214E-9,1.05165E-9,555.185E-12,327.403E-12,219.368E-12,167.127E-12,141.113E-12,126.661E-12,117.409E-12,110.817E-12,105.790E-12,101.788E-12,98.5066E-12,95.7567E-12,93.4136E-12,91.3900E-12,89.6228E-12,88.0646E-12,4.64376E-9,3.16049E-9,2.48509E-9,1.48044E-9,792.751E-12,469.389E-12,313.752E-12,237.776E-12,199.602E-12,178.173E-12,164.319E-12,154.370E-12,146.738E-12,140.633E-12,135.608E-12,131.387E-12,127.782E-12,124.664E-12,121.938E-12,119.532E-12,5.27676E-9,3.84322E-9,3.24853E-9,1.92580E-9,1.04535E-9,622.324E-12,416.109E-12,314.659E-12,263.310E-12,234.237E-12,215.290E-12,201.594E-12,191.037E-12,182.559E-12,175.561E-12,169.666E-12,164.623E-12,160.254E-12,156.429E-12,153.050E-12
5.24807,2.00086E-9,886.047E-12,496.159E-12,290.290E-12,149.179E-12,89.0336E-12,61.8919E-12,49.2465E-12,43.1477E-12,39.8637E-12,37.8197E-12,36.3958E-12,35.3280E-12,34.4873E-12,33.8027E-12,33.2312E-12,32.7448E-12,32.3244E-12,31.9563E-12,31.6306E-12,3.04711E-9,1.66796E-9,1.08139E-9,642.898E-12,334.651E-12,197.400E-12,133.519E-12,103.039E-12,88.0538E-12,79.8456E-12,74.6590E-12,71.0024E-12,68.2365E-12,66.0471E-12,64.2593E-12,62.7655E-12,61.4950E-12,60.3989E-12,59.4421E-12,58.5983E-12,3.88089E-9,2.41502E-9,1.74204E-9,1.03977E-9,549.090E-12,323.996E-12,217.255E-12,165.655E-12,139.973E-12,125.717E-12,116.596E-12,110.100E-12,105.149E-12,101.208E-12,97.9774E-12,95.2705E-12,92.9642E-12,90.9725E-12,89.2331E-12,87.6995E-12,4.59060E-9,3.12433E-9,2.45672E-9,1.46368E-9,783.980E-12,464.412E-12,310.624E-12,235.569E-12,197.875E-12,176.730E-12,163.067E-12,153.260E-12,145.739E-12,139.725E-12,134.777E-12,130.620E-12,127.071E-12,124.002E-12,121.318E-12,118.950E-12,5.21637E-9,3.79925E-9,3.21144E-9,1.90397E-9,1.03373E-9,615.646E-12,411.867E-12,311.637E-12,260.927E-12,232.232E-12,213.540E-12,200.037E-12,189.630E-12,181.276E-12,174.382E-12,168.576E-12,163.610E-12,159.308E-12,155.541E-12,152.215E-12
5.37032,1.97796E-9,875.915E-12,490.515E-12,287.057E-12,147.616E-12,88.2049E-12,61.4056E-12,48.9258E-12,42.9112E-12,39.6752E-12,37.6624E-12,36.2608E-12,35.2098E-12,34.3824E-12,33.7085E-12,33.1458E-12,32.6668E-12,32.2526E-12,31.8899E-12,31.5688E-12,3.01223E-9,1.64888E-9,1.06907E-9,635.671E-12,331.031E-12,195.417E-12,132.314E-12,102.216E-12,87.4276E-12,79.3338E-12,74.2232E-12,70.6220E-12,67.8990E-12,65.7440E-12,63.9844E-12,62.5142E-12,61.2638E-12,60.1850E-12,59.2432E-12,58.4126E-12,3.83647E-9,2.38739E-9,1.72216E-9,1.02803E-9,543.067E-12,320.631E-12,215.170E-12,164.203E-12,138.851E-12,124.787E-12,115.796E-12,109.395E-12,104.519E-12,100.638E-12,97.4576E-12,94.7930E-12,92.5229E-12,90.5626E-12,88.8507E-12,87.3412E-12,4.53806E-9,3.08859E-9,2.42868E-9,1.44712E-9,775.313E-12,459.497E-12,307.536E-12,233.392E-12,196.173E-12,175.307E-12,161.834E-12,152.167E-12,144.757E-12,138.833E-12,133.960E-12,129.867E-12,126.373E-12,123.351E-12,120.709E-12,118.379E-12,5.15666E-9,3.75578E-9,3.17477E-9,1.88240E-9,1.02224E-9,609.049E-12,407.679E-12,308.655E-12,258.577E-12,230.255E-12,211.817E-12,198.502E-12,188.246E-12,180.014E-12,173.223E-12,167.504E-12,162.613E-12,158.377E-12,154.669E-12,151.394E-12
5.49541,1.95532E-9,865.898E-12,484.936E-12,283.861E-12,146.072E-12,87.3875E-12,60.9266E-12,48.6104E-12,42.6789E-12,39.4901E-12,37.5080E-12,36.1283E-12,35.0939E-12,34.2795E-12,33.6161E-12,33.0621E-12,32.5903E-12,32.1823E-12,31.8248E-12,31.5084E-12,2.97775E-9,1.63002E-9,1.05688E-9,628.528E-12,327.455E-12,193.460E-12,131.125E-12,101.405E-12,86.8113E-12,78.8305E-12,73.7949E-12,70.2483E-12,67.5675E-12,65.4464E-12,63.7146E-12,62.2677E-12,61.0371E-12,59.9753E-12,59.0481E-12,58.2305E-12,3.79256E-9,2.36008E-9,1.70252E-9,1.01643E-9,537.117E-12,317.309E-12,213.113E-12,162.772E-12,137.745E-12,123.872E-12,115.008E-12,108.702E-12,103.899E-12,100.078E-12,96.9469E-12,94.3240E-12,92.0896E-12,90.1603E-12,88.4753E-12,86.9897E-12,4.48612E-9,3.05325E-9,2.40096E-9,1.43075E-9,766.748E-12,454.643E-12,304.489E-12,231.245E-12,194.496E-12,173.906E-12,160.619E-12,151.091E-12,143.790E-12,137.955E-12,133.156E-12,129.126E-12,125.686E-12,122.712E-12,120.111E-12,117.817E-12,5.09764E-9,3.71281E-9,3.13852E-9,1.86107E-9,1.01089E-9,602.533E-12,403.544E-12,305.713E-12,256.259E-12,228.307E-12,210.119E-12,196.992E-12,186.883E-12,178.772E-12,172.082E-12,166.450E-12,161.634E-12,157.462E-12,153.812E-12,150.588E-12
5.62341,1.93294E-9,855.996E-12,479.422E-12,280.703E-12,144.547E-12,86.5812E-12,60.4548E-12,48.3002E-12,42.4506E-12,39.3084E-12,37.3565E-12,35.9984E-12,34.9803E-12,34.1786E-12,33.5256E-12,32.9801E-12,32.5154E-12,32.1134E-12,31.7611E-12,31.4492E-12,2.94367E-9,1.61137E-9,1.04484E-9,621.468E-12,323.923E-12,191.528E-12,129.953E-12,100.606E-12,86.2047E-12,78.3355E-12,73.3739E-12,69.8812E-12,67.2420E-12,65.1543E-12,63.4498E-12,62.0258E-12,60.8147E-12,59.7695E-12,58.8569E-12,58.0520E-12,3.74915E-9,2.33308E-9,1.68310E-9,1.00497E-9,531.238E-12,314.028E-12,211.083E-12,161.361E-12,136.656E-12,122.971E-12,114.233E-12,108.020E-12,103.290E-12,99.5279E-12,96.4452E-12,93.8634E-12,91.6642E-12,89.7653E-12,88.1070E-12,86.6448E-12,4.43477E-9,3.01832E-9,2.37356E-9,1.41457E-9,758.285E-12,449.848E-12,301.481E-12,229.127E-12,192.842E-12,172.526E-12,159.424E-12,150.032E-12,142.839E-12,137.092E-12,132.366E-12,128.398E-12,125.012E-12,122.084E-12,119.524E-12,117.266E-12,5.03929E-9,3.67033E-9,3.10269E-9,1.83999E-9,999.670E-12,596.096E-12,399.462E-12,302.810E-12,253.974E-12,226.387E-12,208.447E-12,195.504E-12,185.541E-12,177.550E-12,170.960E-12,165.413E-12,160.670E-12,156.563E-12,152.970E-12,149.796E-12
5.75440,1.91082E-9,846.207E-12,473.971E-12,277.583E-12,143.042E-12,85.7859E-12,59.9902E-12,47.9951E-12,42.2263E-12,39.1300E-12,37.2079E-12,35.8710E-12,34.8689E-12,34.0798E-12,33.4369E-12,32.8997E-12,32.4420E-12,32.0460E-12,31.6988E-12,31.3913E-12,2.90998E-9,1.59294E-9,1.03293E-9,614.490E-12,320.433E-12,189.621E-12,128.797E-12,99.8187E-12,85.6079E-12,77.8487E-12,72.9601E-12,69.5206E-12,66.9224E-12,64.8675E-12,63.1900E-12,61.7886E-12,60.5965E-12,59.5678E-12,58.6695E-12,57.8770E-12,3.70624E-9,2.30639E-9,1.66390E-9,993.634E-12,525.429E-12,310.788E-12,209.080E-12,159.971E-12,135.583E-12,122.084E-12,113.471E-12,107.350E-12,102.691E-12,98.9870E-12,95.9524E-12,93.4111E-12,91.2466E-12,89.3777E-12,87.7456E-12,86.3065E-12,4.38401E-9,2.98379E-9,2.34647E-9,1.39858E-9,749.923E-12,445.112E-12,298.512E-12,227.038E-12,191.212E-12,171.167E-12,158.247E-12,148.991E-12,141.904E-12,136.243E-12,131.590E-12,127.683E-12,124.349E-12,121.467E-12,118.947E-12,116.725E-12,4.98161E-9,3.62834E-9,3.06727E-9,1.81915E-9,988.583E-12,589.738E-12,395.432E-12,299.946E-12,251.721E-12,224.494E-12,206.799E-12,194.039E-12,184.220E-12,176.348E-12,169.856E-12,164.393E-12,159.723E-12,155.680E-12,152.142E-12,149.018E-12
5.88844,1.88895E-9,836.531E-12,468.583E-12,274.499E-12,141.555E-12,85.0016E-12,59.5327E-12,47.6951E-12,42.0059E-12,38.9549E-12,37.0621E-12,35.7460E-12,34.7597E-12,33.9830E-12,33.3500E-12,32.8210E-12,32.3702E-12,31.9799E-12,31.6377E-12,31.3345E-12,2.87667E-9,1.57472E-9,1.02116E-9,607.594E-12,316.985E-12,187.738E-12,127.658E-12,99.0436E-12,85.0205E-12,77.3701E-12,72.5534E-12,69.1664E-12,66.6086E-12,64.5860E-12,62.9351E-12,61.5558E-12,60.3826E-12,59.3701E-12,58.4857E-12,57.7055E-12,3.66381E-9,2.28001E-9,1.64492E-9,982.433E-12,519.689E-12,307.590E-12,207.104E-12,158.600E-12,134.527E-12,121.211E-12,112.721E-12,106.690E-12,102.102E-12,98.4556E-12,95.4683E-12,92.9670E-12,90.8367E-12,88.9973E-12,87.3909E-12,85.9745E-12,4.33383E-9,2.94965E-9,2.31970E-9,1.38277E-9,741.659E-12,440.436E-12,295.582E-12,224.979E-12,189.606E-12,169.828E-12,157.088E-12,147.965E-12,140.984E-12,135.408E-12,130.826E-12,126.980E-12,123.698E-12,120.861E-12,118.381E-12,116.194E-12,4.92459E-9,3.58682E-9,3.03226E-9,1.79856E-9,977.628E-12,583.458E-12,391.453E-12,297.121E-12,249.499E-12,222.630E-12,205.177E-12,192.597E-12,182.921E-12,175.164E-12,168.771E-12,163.391E-12,158.793E-12,154.812E-12,151.329E-12,148.253E-12
6.02560,1.86732E-9,826.965E-12,463.257E-12,271.451E-12,140.086E-12,84.2281E-12,59.0822E-12,47.4001E-12,41.7894E-12,38.7830E-12,36.9191E-12,35.6235E-12,34.6526E-12,33.8880E-12,33.2649E-12,32.7439E-12,32.2998E-12,31.9153E-12,31.5780E-12,31.2790E-12,2.84374E-9,1.55671E-9,1.00953E-9,600.779E-12,313.579E-12,185.880E-12,126.534E-12,98.2803E-12,84.4426E-12,76.8995E-12,72.1538E-12,68.8184E-12,66.3005E-12,64.3098E-12,62.6850E-12,61.3275E-12,60.1728E-12,59.1761E-12,58.3056E-12,57.5374E-12,3.62188E-9,2.25392E-9,1.62617E-9,971.362E-12,514.018E-12,304.431E-12,205.154E-12,157.249E-12,133.486E-12,120.352E-12,111.983E-12,106.042E-12,101.524E-12,97.9335E-12,94.9929E-12,92.5309E-12,90.4342E-12,88.6239E-12,87.0429E-12,85.6489E-12,4.28422E-9,2.91591E-9,2.29323E-9,1.36715E-9,733.494E-12,435.817E-12,292.690E-12,222.947E-12,188.024E-12,168.509E-12,155.947E-12,146.957E-12,140.078E-12,134.588E-12,130.076E-12,126.289E-12,123.058E-12,120.266E-12,117.825E-12,115.672E-12,4.86822E-9,3.54579E-9,2.99765E-9,1.77820E-9,966.803E-12,577.254E-12,387.526E-12,294.334E-12,247.308E-12,220.792E-12,203.578E-12,191.177E-12,181.642E-12,174.000E-12,167.703E-12,162.405E-12,157.878E-12,153.958E-12,150.530E-12,147.502E-12
6.16595,1.84595E-9,817.509E-12,457.993E-12,268.439E-12,138.637E-12,83.4652E-12,58.6386E-12,47.1100E-12,41.5768E-12,38.6143E-12,36.7787E-12,35.5034E-12,34.5477E-12,33.7950E-12,33.1815E-12,32.6684E-12,32.2309E-12,31.8519E-12,31.5194E-12,31.2246E-12,2.81120E-9,1.53890E-9,998.029E-12,594.043E-12,310.215E-12,184.046E-12,125.426E-12,97.5286E-12,83.8740E-12,76.4368E-12,71.7612E-12,68.4767E-12,65.9980E-12,64.0387E-12,62.4396E-12,61.1036E-12,59.9670E-12,58.9860E-12,58.1290E-12,57.3727E-12,3.58042E-9,2.22814E-9,1.60762E-9,960.420E-12,508.415E-12,301.313E-12,203.231E-12,155.917E-12,132.461E-12,119.506E-12,111.258E-12,105.405E-12,100.955E-12,97.4206E-12,94.5260E-12,92.1028E-12,90.0392E-12,88.2575E-12,86.7015E-12,85.3294E-12,4.23519E-9,2.88255E-9,2.26706E-9,1.35170E-9,725.426E-12,431.255E-12,289.837E-12,220.944E-12,186.464E-12,167.210E-12,154.824E-12,145.964E-12,139.188E-12,133.781E-12,129.338E-12,125.610E-12,122.430E-12,119.682E-12,117.279E-12,115.160E-12,4.81250E-9,3.50522E-9,2.96344E-9,1.75808E-9,956.105E-12,571.127E-12,383.650E-12,291.584E-12,245.149E-12,218.981E-12,202.004E-12,189.780E-12,180.383E-12,172.855E-12,166.653E-12,161.436E-12,156.978E-12,153.120E-12,149.745E-12,146.765E-12
6.30957,1.82482E-9,808.162E-12,452.789E-12,265.463E-12,137.205E-12,82.7130E-12,58.2018E-12,46.8247E-12,41.3680E-12,38.4487E-12,36.6411E-12,35.3856E-12,34.4448E-12,33.7039E-12,33.0998E-12,32.5944E-12,32.1634E-12,31.7899E-12,31.4622E-12,31.1714E-12,2.77902E-9,1.52130E-9,986.661E-12,587.386E-12,306.892E-12,182.237E-12,124.334E-12,96.7884E-12,83.3146E-12,75.9819E-12,71.3754E-12,68.1411E-12,65.7011E-12,63.7726E-12,62.1988E-12,60.8840E-12,59.7653E-12,58.7996E-12,57.9559E-12,57.2112E-12,3.53944E-9,2.20265E-9,1.58929E-9,949.605E-12,502.880E-12,298.234E-12,201.334E-12,154.605E-12,131.452E-12,118.674E-12,110.544E-12,104.778E-12,100.397E-12,96.9167E-12,94.0675E-12,91.6825E-12,89.6515E-12,87.8980E-12,86.3666E-12,85.0161E-12,4.18671E-9,2.84957E-9,2.24120E-9,1.33644E-9,717.453E-12,426.750E-12,287.021E-12,218.969E-12,184.927E-12,165.931E-12,153.719E-12,144.988E-12,138.313E-12,132.988E-12,128.614E-12,124.944E-12,121.813E-12,119.108E-12,116.743E-12,114.658E-12,4.75742E-9,3.46512E-9,2.92961E-9,1.73819E-9,945.534E-12,565.075E-12,379.823E-12,288.872E-12,243.020E-12,217.197E-12,200.454E-12,188.404E-12,179.144E-12,171.729E-12,165.620E-12,160.484E-12,156.095E-12,152.296E-12,148.974E-12,146.041E-12
6.45654,1.80394E-9,798.921E-12,447.645E-12,262.522E-12,135.791E-12,81.9711E-12,57.7718E-12,46.5443E-12,41.1629E-12,38.2862E-12,36.5061E-12,35.2700E-12,34.3440E-12,33.6146E-12,33.0197E-12,32.5220E-12,32.0973E-12,31.7292E-12,31.4061E-12,31.1193E-12,2.74721E-9,1.50390E-9,975.425E-12,580.807E-12,303.609E-12,180.450E-12,123.258E-12,96.0595E-12,82.7642E-12,75.5347E-12,70.9963E-12,67.8115E-12,65.4096E-12,63.5115E-12,61.9626E-12,60.6686E-12,59.5675E-12,58.6169E-12,57.7863E-12,57.0530E-12,3.49893E-9,2.17746E-9,1.57117E-9,938.916E-12,497.411E-12,295.194E-12,199.463E-12,153.312E-12,130.458E-12,117.855E-12,109.842E-12,104.162E-12,99.8478E-12,96.4218E-12,93.6173E-12,91.2699E-12,89.2710E-12,87.5452E-12,86.0380E-12,84.7088E-12,4.13879E-9,2.81697E-9,2.21563E-9,1.32135E-9,709.576E-12,422.302E-12,284.242E-12,217.021E-12,183.413E-12,164.671E-12,152.631E-12,144.027E-12,137.452E-12,132.208E-12,127.901E-12,124.288E-12,121.207E-12,118.544E-12,116.217E-12,114.165E-12,4.70297E-9,3.42548E-9,2.89618E-9,1.71853E-9,935.088E-12,559.098E-12,376.046E-12,286.197E-12,240.922E-12,215.440E-12,198.927E-12,187.049E-12,177.926E-12,170.621E-12,164.605E-12,159.547E-12,155.226E-12,151.487E-12,148.216E-12,145.329E-12
6.60693,1.78329E-9,789.787E-12,442.561E-12,259.616E-12,134.395E-12,81.2397E-12,57.3484E-12,46.2686E-12,40.9614E-12,38.1267E-12,36.3736E-12,35.1568E-12,34.2452E-12,33.5271E-12,32.9413E-12,32.4510E-12,32.0326E-12,31.6698E-12,31.3511E-12,31.0683E-12,2.71577E-9,1.48670E-9,964.317E-12,574.304E-12,300.366E-12,178.688E-12,122.197E-12,95.3418E-12,82.2228E-12,75.0951E-12,70.6239E-12,67.4879E-12,65.1235E-12,63.2554E-12,61.7310E-12,60.4573E-12,59.3736E-12,58.4378E-12,57.6200E-12,56.8980E-12,3.45888E-9,2.15255E-9,1.55326E-9,928.351E-12,492.007E-12,292.192E-12,197.617E-12,152.037E-12,129.479E-12,117.049E-12,109.152E-12,103.557E-12,99.3084E-12,95.9356E-12,93.1752E-12,90.8648E-12,88.8976E-12,87.1991E-12,85.7157E-12,84.4074E-12,4.09142E-9,2.78475E-9,2.19036E-9,1.30644E-9,701.793E-12,417.909E-12,281.499E-12,215.101E-12,181.920E-12,163.431E-12,151.560E-12,143.082E-12,136.606E-12,131.441E-12,127.201E-12,123.645E-12,120.612E-12,117.991E-12,115.701E-12,113.681E-12,4.64914E-9,3.38629E-9,2.86313E-9,1.69910E-9,924.765E-12,553.194E-12,372.318E-12,283.558E-12,238.853E-12,213.708E-12,197.424E-12,185.716E-12,176.727E-12,169.532E-12,163.607E-12,158.627E-12,154.373E-12,150.692E-12,147.472E-12,144.631E-12
6.76083,1.76288E-9,780.757E-12,437.535E-12,256.744E-12,133.017E-12,80.5184E-12,56.9317E-12,45.9976E-12,40.7636E-12,37.9702E-12,36.2438E-12,35.0458E-12,34.1484E-12,33.4413E-12,32.8645E-12,32.3816E-12,31.9692E-12,31.6116E-12,31.2974E-12,31.0184E-12,2.68468E-9,1.46970E-9,953.338E-12,567.878E-12,297.163E-12,176.948E-12,121.151E-12,94.6352E-12,81.6903E-12,74.6630E-12,70.2581E-12,67.1702E-12,64.8427E-12,63.0040E-12,61.5037E-12,60.2502E-12,59.1834E-12,58.2622E-12,57.4571E-12,56.7460E-12,3.41929E-9,2.12793E-9,1.53556E-9,917.910E-12,486.669E-12,289.229E-12,195.797E-12,150.781E-12,128.516E-12,116.257E-12,108.473E-12,102.962E-12,98.7784E-12,95.4582E-12,92.7411E-12,90.4672E-12,88.5312E-12,86.8595E-12,85.3996E-12,84.1119E-12,4.04459E-9,2.75289E-9,2.16538E-9,1.29171E-9,694.102E-12,413.570E-12,278.794E-12,213.207E-12,180.450E-12,162.210E-12,150.506E-12,142.152E-12,135.773E-12,130.688E-12,126.514E-12,123.013E-12,120.028E-12,117.448E-12,115.194E-12,113.206E-12,4.59592E-9,3.34755E-9,2.83046E-9,1.67990E-9,914.566E-12,547.363E-12,368.638E-12,280.955E-12,236.814E-12,212.002E-12,195.944E-12,184.404E-12,175.547E-12,168.460E-12,162.626E-12,157.722E-12,153.534E-12,149.911E-12,146.742E-12,143.945E-12
