freq (Hz),output noise; A / sqrt(Hz) b 8 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 8 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 12 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 16 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 20 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 24 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 28 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 32 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 36 M 4  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.25  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 0.5  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 1  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 2  (A / sqrt(Hz)),output noise; A / sqrt(Hz) b 40 M 4  (A / sqrt(Hz))
1.25893,434.293E-12,368.417E-12,325.452E-12,319.527E-12,376.308E-12,407.429E-12,337.356E-12,291.308E-12,274.593E-12,298.041E-12,405.088E-12,334.369E-12,287.201E-12,266.993E-12,280.692E-12,404.580E-12,333.672E-12,286.023E-12,264.360E-12,273.163E-12,404.418E-12,333.420E-12,285.501E-12,262.981E-12,268.947E-12,404.355E-12,333.304E-12,285.215E-12,262.173E-12,266.268E-12,404.325E-12,333.242E-12,285.047E-12,261.425E-12,264.425E-12,404.309E-12,333.207E-12,284.929E-12,261.016E-12,263.086E-12,404.299E-12,333.182E-12,284.844E-12,260.710E-12,262.073E-12
1.28825,429.340E-12,364.235E-12,321.792E-12,315.988E-12,372.184E-12,402.783E-12,333.529E-12,288.038E-12,271.569E-12,294.829E-12,400.469E-12,330.575E-12,283.977E-12,264.056E-12,277.686E-12,399.967E-12,329.886E-12,282.812E-12,261.453E-12,270.247E-12,399.807E-12,329.636E-12,282.295E-12,260.089E-12,266.080E-12,399.743E-12,329.521E-12,282.012E-12,259.290E-12,263.432E-12,399.714E-12,329.459E-12,281.845E-12,258.550E-12,261.611E-12,399.698E-12,329.424E-12,281.728E-12,258.145E-12,260.287E-12,399.688E-12,329.400E-12,281.644E-12,257.842E-12,259.285E-12
1.31826,424.445E-12,360.100E-12,318.175E-12,312.491E-12,368.110E-12,398.192E-12,329.745E-12,284.806E-12,268.581E-12,291.657E-12,395.903E-12,326.825E-12,280.791E-12,261.155E-12,274.717E-12,395.407E-12,326.143E-12,279.638E-12,258.580E-12,267.366E-12,395.248E-12,325.895E-12,279.127E-12,257.232E-12,263.248E-12,395.185E-12,325.781E-12,278.846E-12,256.441E-12,260.631E-12,395.156E-12,325.720E-12,278.681E-12,255.709E-12,258.831E-12,395.139E-12,325.685E-12,278.564E-12,255.308E-12,257.523E-12,395.130E-12,325.661E-12,278.481E-12,255.008E-12,256.532E-12
1.34896,419.605E-12,356.013E-12,314.600E-12,309.035E-12,364.084E-12,393.653E-12,326.006E-12,281.612E-12,265.629E-12,288.524E-12,391.390E-12,323.118E-12,277.642E-12,258.288E-12,271.785E-12,390.899E-12,322.443E-12,276.501E-12,255.742E-12,264.521E-12,390.741E-12,322.198E-12,275.995E-12,254.408E-12,260.451E-12,390.679E-12,322.085E-12,275.717E-12,253.626E-12,257.865E-12,390.650E-12,322.024E-12,275.553E-12,252.902E-12,256.086E-12,390.634E-12,321.989E-12,275.438E-12,252.505E-12,254.792E-12,390.624E-12,321.965E-12,275.355E-12,252.207E-12,253.812E-12
1.38038,414.821E-12,351.974E-12,311.066E-12,305.620E-12,360.107E-12,389.166E-12,322.309E-12,278.455E-12,262.712E-12,285.428E-12,386.929E-12,319.454E-12,274.529E-12,255.455E-12,268.888E-12,386.443E-12,318.786E-12,273.401E-12,252.938E-12,261.710E-12,386.287E-12,318.543E-12,272.900E-12,251.619E-12,257.689E-12,386.225E-12,318.431E-12,272.625E-12,250.844E-12,255.133E-12,386.196E-12,318.370E-12,272.462E-12,250.128E-12,253.374E-12,386.180E-12,318.336E-12,272.348E-12,249.735E-12,252.095E-12,386.170E-12,318.311E-12,272.266E-12,249.441E-12,251.126E-12
1.41254,410.093E-12,347.981E-12,307.574E-12,302.246E-12,356.177E-12,384.731E-12,318.655E-12,275.336E-12,259.830E-12,282.370E-12,382.519E-12,315.832E-12,271.453E-12,252.656E-12,266.027E-12,382.038E-12,315.172E-12,270.337E-12,250.167E-12,258.934E-12,381.883E-12,314.931E-12,269.842E-12,248.862E-12,254.960E-12,381.822E-12,314.820E-12,269.569E-12,248.096E-12,252.434E-12,381.793E-12,314.759E-12,269.407E-12,247.387E-12,250.695E-12,381.777E-12,314.725E-12,269.294E-12,246.998E-12,249.431E-12,381.767E-12,314.700E-12,269.212E-12,246.707E-12,248.473E-12
1.44544,405.418E-12,344.034E-12,304.123E-12,298.911E-12,352.294E-12,380.346E-12,315.044E-12,272.252E-12,256.982E-12,279.350E-12,378.159E-12,312.253E-12,268.414E-12,249.890E-12,263.200E-12,377.683E-12,311.599E-12,267.309E-12,247.429E-12,256.192E-12,377.530E-12,311.360E-12,266.819E-12,246.139E-12,252.265E-12,377.469E-12,311.250E-12,266.548E-12,245.380E-12,249.768E-12,377.440E-12,311.190E-12,266.388E-12,244.679E-12,248.050E-12,377.424E-12,311.156E-12,266.275E-12,244.294E-12,246.800E-12,377.415E-12,311.131E-12,266.195E-12,244.005E-12,245.853E-12
1.47911,400.797E-12,340.133E-12,300.712E-12,295.617E-12,348.458E-12,376.013E-12,311.474E-12,269.205E-12,254.168E-12,276.366E-12,373.850E-12,308.714E-12,265.409E-12,247.157E-12,260.409E-12,373.379E-12,308.067E-12,264.317E-12,244.724E-12,253.484E-12,373.228E-12,307.831E-12,263.831E-12,243.448E-12,249.603E-12,373.167E-12,307.721E-12,263.563E-12,242.697E-12,247.136E-12,373.138E-12,307.661E-12,263.404E-12,242.003E-12,245.437E-12,373.122E-12,307.628E-12,263.292E-12,241.622E-12,244.201E-12,373.112E-12,307.603E-12,263.212E-12,241.336E-12,243.265E-12
1.51356,396.230E-12,336.276E-12,297.340E-12,292.361E-12,344.668E-12,371.729E-12,307.946E-12,266.193E-12,251.388E-12,273.419E-12,369.590E-12,305.217E-12,262.440E-12,244.457E-12,257.652E-12,369.124E-12,304.576E-12,261.359E-12,242.051E-12,250.810E-12,368.974E-12,304.342E-12,260.878E-12,240.789E-12,246.974E-12,368.914E-12,304.234E-12,260.613E-12,240.046E-12,244.535E-12,368.885E-12,304.174E-12,260.455E-12,239.360E-12,242.856E-12,368.869E-12,304.140E-12,260.344E-12,238.982E-12,241.635E-12,368.859E-12,304.116E-12,260.264E-12,238.699E-12,240.709E-12
1.54882,391.715E-12,332.465E-12,294.009E-12,289.144E-12,340.923E-12,367.494E-12,304.458E-12,263.217E-12,248.641E-12,270.508E-12,365.379E-12,301.759E-12,259.506E-12,241.790E-12,254.928E-12,364.919E-12,301.126E-12,258.436E-12,239.411E-12,248.168E-12,364.770E-12,300.894E-12,257.960E-12,238.162E-12,244.378E-12,364.710E-12,300.786E-12,257.697E-12,237.427E-12,241.968E-12,364.682E-12,300.727E-12,257.541E-12,236.748E-12,240.308E-12,364.665E-12,300.693E-12,257.430E-12,236.374E-12,239.100E-12,364.655E-12,300.669E-12,257.351E-12,236.094E-12,238.185E-12
1.58489,387.251E-12,328.697E-12,290.716E-12,285.965E-12,337.224E-12,363.308E-12,301.011E-12,260.275E-12,245.927E-12,267.632E-12,361.217E-12,298.342E-12,256.606E-12,239.154E-12,252.239E-12,360.761E-12,297.715E-12,255.548E-12,236.802E-12,245.559E-12,360.614E-12,297.486E-12,255.076E-12,235.566E-12,241.814E-12,360.555E-12,297.379E-12,254.815E-12,234.840E-12,239.431E-12,360.526E-12,297.320E-12,254.660E-12,234.167E-12,237.791E-12,360.510E-12,297.286E-12,254.551E-12,233.797E-12,236.597E-12,360.500E-12,297.262E-12,254.472E-12,233.520E-12,235.692E-12
1.62181,382.840E-12,324.973E-12,287.461E-12,282.824E-12,333.569E-12,359.170E-12,297.603E-12,257.368E-12,243.246E-12,264.792E-12,357.103E-12,294.965E-12,253.740E-12,236.550E-12,249.582E-12,356.652E-12,294.344E-12,252.693E-12,234.224E-12,242.982E-12,356.506E-12,294.117E-12,252.226E-12,233.002E-12,239.281E-12,356.447E-12,294.010E-12,251.967E-12,232.283E-12,236.927E-12,356.418E-12,293.952E-12,251.814E-12,231.618E-12,235.305E-12,356.402E-12,293.918E-12,251.705E-12,231.251E-12,234.125E-12,356.392E-12,293.894E-12,251.627E-12,230.976E-12,233.231E-12
1.65959,378.478E-12,321.292E-12,284.245E-12,279.721E-12,329.958E-12,355.080E-12,294.235E-12,254.495E-12,240.596E-12,261.987E-12,353.036E-12,291.626E-12,250.907E-12,233.977E-12,246.959E-12,352.589E-12,291.012E-12,249.872E-12,231.677E-12,240.437E-12,352.445E-12,290.787E-12,249.409E-12,230.469E-12,236.780E-12,352.386E-12,290.681E-12,249.153E-12,229.757E-12,234.454E-12,352.358E-12,290.623E-12,249.001E-12,229.099E-12,232.851E-12,352.342E-12,290.590E-12,248.893E-12,228.736E-12,231.684E-12,352.331E-12,290.565E-12,248.815E-12,228.463E-12,230.799E-12
1.69824,374.167E-12,317.654E-12,281.066E-12,276.654E-12,326.391E-12,351.037E-12,290.906E-12,251.656E-12,237.979E-12,259.216E-12,349.015E-12,288.326E-12,248.108E-12,231.436E-12,244.368E-12,348.574E-12,287.719E-12,247.083E-12,229.161E-12,237.924E-12,348.430E-12,287.495E-12,246.625E-12,227.965E-12,234.311E-12,348.372E-12,287.391E-12,246.371E-12,227.261E-12,232.011E-12,348.344E-12,287.333E-12,246.220E-12,226.610E-12,230.427E-12,348.328E-12,287.299E-12,246.113E-12,226.251E-12,229.273E-12,348.318E-12,287.275E-12,246.036E-12,225.981E-12,228.399E-12
1.73780,369.906E-12,314.058E-12,277.925E-12,273.624E-12,322.867E-12,347.040E-12,287.616E-12,248.850E-12,235.393E-12,256.479E-12,345.041E-12,285.065E-12,245.342E-12,228.924E-12,241.809E-12,344.604E-12,284.463E-12,244.328E-12,226.675E-12,235.443E-12,344.462E-12,284.242E-12,243.874E-12,225.493E-12,231.872E-12,344.404E-12,284.138E-12,243.623E-12,224.796E-12,229.599E-12,344.376E-12,284.080E-12,243.473E-12,224.151E-12,228.033E-12,344.360E-12,284.047E-12,243.366E-12,223.795E-12,226.893E-12,344.350E-12,284.023E-12,243.289E-12,223.528E-12,226.028E-12
1.77828,365.694E-12,310.503E-12,274.820E-12,270.631E-12,319.386E-12,343.089E-12,284.364E-12,246.077E-12,232.838E-12,253.776E-12,341.113E-12,281.841E-12,242.608E-12,226.443E-12,239.282E-12,340.681E-12,281.246E-12,241.605E-12,224.219E-12,232.992E-12,340.540E-12,281.026E-12,241.155E-12,223.049E-12,229.463E-12,340.482E-12,280.923E-12,240.906E-12,222.360E-12,227.217E-12,340.454E-12,280.866E-12,240.757E-12,221.722E-12,225.669E-12,340.438E-12,280.833E-12,240.651E-12,221.370E-12,224.542E-12,340.428E-12,280.808E-12,240.575E-12,221.105E-12,223.687E-12
1.81970,361.530E-12,306.990E-12,271.752E-12,267.673E-12,315.947E-12,339.184E-12,281.149E-12,243.337E-12,230.314E-12,251.107E-12,337.230E-12,278.654E-12,239.906E-12,223.992E-12,236.786E-12,336.802E-12,278.065E-12,238.913E-12,221.793E-12,230.571E-12,336.662E-12,277.848E-12,238.469E-12,220.636E-12,227.085E-12,336.605E-12,277.745E-12,238.221E-12,219.953E-12,224.865E-12,336.577E-12,277.688E-12,238.074E-12,219.322E-12,223.335E-12,336.561E-12,277.655E-12,237.969E-12,218.973E-12,222.220E-12,336.551E-12,277.631E-12,237.893E-12,218.711E-12,221.375E-12
1.86209,357.414E-12,303.517E-12,268.720E-12,264.750E-12,312.549E-12,335.324E-12,277.972E-12,240.629E-12,227.820E-12,248.471E-12,333.392E-12,275.505E-12,237.236E-12,221.571E-12,234.321E-12,332.968E-12,274.922E-12,236.254E-12,219.396E-12,228.182E-12,332.830E-12,274.706E-12,235.813E-12,218.251E-12,224.736E-12,332.773E-12,274.604E-12,235.568E-12,217.576E-12,222.542E-12,332.745E-12,274.548E-12,235.422E-12,216.951E-12,221.030E-12,332.729E-12,274.515E-12,235.317E-12,216.606E-12,219.928E-12,332.718E-12,274.490E-12,235.242E-12,216.346E-12,219.092E-12
1.90546,353.345E-12,300.085E-12,265.723E-12,261.863E-12,309.193E-12,331.508E-12,274.831E-12,237.952E-12,225.356E-12,245.867E-12,329.597E-12,272.392E-12,234.598E-12,219.179E-12,231.888E-12,329.178E-12,271.815E-12,233.626E-12,217.028E-12,225.822E-12,329.041E-12,271.601E-12,233.189E-12,215.896E-12,222.417E-12,328.985E-12,271.500E-12,232.946E-12,215.227E-12,220.249E-12,328.957E-12,271.443E-12,232.801E-12,214.609E-12,218.754E-12,328.941E-12,271.410E-12,232.697E-12,214.267E-12,217.665E-12,328.930E-12,271.386E-12,232.622E-12,214.009E-12,216.838E-12
1.94984,349.324E-12,296.692E-12,262.762E-12,259.010E-12,305.877E-12,327.736E-12,271.727E-12,235.308E-12,222.922E-12,243.296E-12,325.847E-12,269.315E-12,231.990E-12,216.816E-12,229.485E-12,325.432E-12,268.744E-12,231.028E-12,214.689E-12,223.491E-12,325.296E-12,268.532E-12,230.596E-12,213.569E-12,220.127E-12,325.240E-12,268.431E-12,230.355E-12,212.907E-12,217.985E-12,325.212E-12,268.375E-12,230.211E-12,212.295E-12,216.507E-12,325.196E-12,268.342E-12,230.108E-12,211.956E-12,215.430E-12,325.186E-12,268.318E-12,230.033E-12,211.701E-12,214.613E-12
1.99526,345.348E-12,293.338E-12,259.835E-12,256.191E-12,302.602E-12,324.008E-12,268.659E-12,232.694E-12,220.518E-12,240.756E-12,322.140E-12,266.273E-12,229.413E-12,214.481E-12,227.111E-12,321.729E-12,265.708E-12,228.462E-12,212.378E-12,221.190E-12,321.594E-12,265.498E-12,228.034E-12,211.270E-12,217.866E-12,321.539E-12,265.399E-12,227.795E-12,210.615E-12,215.749E-12,321.511E-12,265.342E-12,227.651E-12,210.009E-12,214.288E-12,321.495E-12,265.310E-12,227.549E-12,209.674E-12,213.224E-12,321.484E-12,265.285E-12,227.475E-12,209.421E-12,212.416E-12
2.04174,341.419E-12,290.024E-12,256.943E-12,253.407E-12,299.367E-12,320.323E-12,265.627E-12,230.111E-12,218.143E-12,238.249E-12,318.475E-12,263.267E-12,226.867E-12,212.175E-12,224.768E-12,318.069E-12,262.708E-12,225.925E-12,210.095E-12,218.918E-12,317.935E-12,262.500E-12,225.501E-12,208.999E-12,215.634E-12,317.880E-12,262.401E-12,225.264E-12,208.350E-12,213.541E-12,317.852E-12,262.345E-12,225.122E-12,207.751E-12,212.098E-12,317.836E-12,262.312E-12,225.020E-12,207.419E-12,211.045E-12,317.825E-12,262.288E-12,224.947E-12,207.168E-12,210.246E-12
2.08930,337.534E-12,286.748E-12,254.085E-12,250.655E-12,296.172E-12,316.680E-12,262.629E-12,227.559E-12,215.796E-12,235.772E-12,314.853E-12,260.296E-12,224.351E-12,209.897E-12,222.454E-12,314.450E-12,259.743E-12,223.419E-12,207.840E-12,216.675E-12,314.318E-12,259.536E-12,222.999E-12,206.755E-12,213.430E-12,314.263E-12,259.438E-12,222.764E-12,206.114E-12,211.362E-12,314.235E-12,259.382E-12,222.622E-12,205.521E-12,209.935E-12,314.219E-12,259.349E-12,222.521E-12,205.191E-12,208.894E-12,314.208E-12,259.325E-12,222.448E-12,204.943E-12,208.104E-12
